Kunden-ID|IBAN|Einkommen|Kreditlimit|Score
1000000000|DE691853995717481|68454.81|12000|51
1000000001|DE951269324763626|25691.09|1000|81
1000000002|DE213311546415511|145953|15000|111
1000000003|DE268898853763925|5856651.85|15000|65
1000000004|DE386289479776138|132395.00|15000|65
1000000005|DE924242597448931|0|0|1
1000000006|GB273179883349685|280392|15000|88
1000000007|DE416268911185674|-83015|0|2
1000000008|DE591919987912972|48387.99|3000|10
1000000009|DE345923442111173|83078.65|6000|55
1000000010|DE248855448423742|1100|0|0
1000000011|DE521865615571135|62409.63|5000|48
1000000012|DE967456662718431|12000|1000|48
1000000013|DE171612518779657|36654.19|3000|48
1000000014|DE291179299169488|1891796.69|15000|100
1000000015|GB639467652941282|50200|4000|98
1000000016|DE713745457393858|478499|5000|69
1000000017|DE774369767983363|128726.74|10000|99
1000000018|DE369646235533388|41742.82|3000|80
1000000019|DE862529129135513|100829.98|10000|10
